|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T081351.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T081351.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 08:13:51.000       59.795395    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.4473           40.5718    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T090430.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T090430.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:04:30.000       59.815226    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3945           40.5490    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T090604.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T090604.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:06:04.000       59.778222    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0085           15.4086    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T090738.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T090738.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:07:38.000       59.841724    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0092           15.4122    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T094047.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T094047.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:40:47.000       59.799154    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0327           15.3918    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T094221.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T094221.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:42:21.000       59.693068    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0300           42.1851    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T094355.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T094355.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 09:43:55.000       59.824928    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0286           43.9496    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T101214.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T101214.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:12:14.000       59.777148    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.0100           43.9208    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T101348.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T101348.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:13:48.000       59.731039    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3343           66.8105    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T101522.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T101522.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:15:22.000       59.817572    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3316           66.8040    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T105631.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T105631.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:56:31.000       59.825026    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2713           66.7946    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T105806.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T105806.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:58:06.000       59.777841    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2357           66.0159    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T105940.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T105940.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 10:59:40.000       59.819616    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2338           66.0064    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T110946.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T110946.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 11:09:46.000       59.873208    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2570           75.2033    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T111120.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T111120.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 11:11:20.000       59.811522    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2521           82.6314    -9.99000000000000e+01  -9.99000000000000e+01  
